Feature,Model,Importance
VendorID,Linear Regression,0.25176054161319705
passenger_count,Linear Regression,0.08900591396870938
trip_distance,Linear Regression,70.31156213342167
RatecodeID,Linear Regression,0.07122543027841433
PULocationID,Linear Regression,0.03730708755016554
DOLocationID,Linear Regression,0.07305662042021766
payment_type,Linear Regression,0.050694063409365775
improvement_surcharge,Linear Regression,0.04052939055571664
Airport_fee,Linear Regression,8.926193117986259e-14
temperature_avg,Linear Regression,0.011679155607866143
precipitation,Linear Regression,0.02581028101583005
is_raining,Linear Regression,0.10565025296261821
hour,Linear Regression,0.14653203817321314
day_of_week,Linear Regression,0.01629287520553846
is_weekend,Linear Regression,0.07273710698924285
month,Linear Regression,0.5963843015023444
day_of_month,Linear Regression,0.030227994849391315
week_of_year,Linear Regression,0.06886659383038363
quarter,Linear Regression,0.6197021237069578
is_holiday,Linear Regression,0.07670228087018272
trip_duration_minutes,Linear Regression,1.9016285898585297
avg_speed_mph,Linear Regression,1.6302387899829907
distance_squared,Linear Regression,66.51784287465973
duration_squared,Linear Regression,1.6921861040952297
temp_fahrenheit,Linear Regression,0.011679155607687619
temp_deviation,Linear Regression,0.011679155607687619
extreme_weather,Linear Regression,0.10565025296253339
same_borough,Linear Regression,0.6079040250118588
pickup_density,Linear Regression,0.22240493963269614
hourly_pickup_count,Linear Regression,0.6567143656460992
zone_hourly_pickup_count,Linear Regression,0.12735471991767433
is_peak_hour,Linear Regression,0.09606582198034808
is_late_night,Linear Regression,0.04343349174601485
surge_likelihood,Linear Regression,0.11162686317622672
trip_complexity,Linear Regression,0.009557332558758347
extreme_distance_flag,Linear Regression,0.7077580778475594
zero_distance_flag,Linear Regression,7.105427357601002e-15
rain_rush_hour,Linear Regression,0.04846357912215993
weather_distance,Linear Regression,1.583327292835115
peak_hour_distance,Linear Regression,0.11548695450043045
store_and_fwd_flag_Y,Linear Regression,0.027785396221043257
pickup_borough_Brooklyn,Linear Regression,0.881262147883195
pickup_borough_EWR,Linear Regression,47.92611126389075
pickup_borough_Manhattan,Linear Regression,1.008547297045319
pickup_borough_Queens,Linear Regression,0.38882320532277603
pickup_borough_Staten Island,Linear Regression,6.977739180773916
dropoff_borough_Brooklyn,Linear Regression,1.3401137156439162
dropoff_borough_EWR,Linear Regression,22.03857422703168
dropoff_borough_Manhattan,Linear Regression,1.40574588046589
dropoff_borough_Queens,Linear Regression,1.0556360712928488
dropoff_borough_Staten Island,Linear Regression,0.11412561468326388
traffic_volume_category_medium,Linear Regression,1.470886526879947
time_of_day_factor_evening,Linear Regression,0.3176142859371289
time_of_day_factor_morning,Linear Regression,0.22498006448516072
time_of_day_factor_night,Linear Regression,0.5142582116866999
day_type_weekday,Linear Regression,0.033013671265354816
day_type_weekend,Linear Regression,0.04900168522110615
VendorID,Random Forest,0.0005043532990104568
passenger_count,Random Forest,0.0001709929040586793
trip_distance,Random Forest,0.44874232892089444
RatecodeID,Random Forest,0.0412828392756547
PULocationID,Random Forest,0.000828528408499734
DOLocationID,Random Forest,0.0015192066462135988
payment_type,Random Forest,0.0005095698811581657
improvement_surcharge,Random Forest,0.0001135144286115848
Airport_fee,Random Forest,0.0
temperature_avg,Random Forest,9.225748091939546e-05
precipitation,Random Forest,0.00012450150536623078
is_raining,Random Forest,1.9346378332668255e-06
hour,Random Forest,0.00044117947829351096
day_of_week,Random Forest,0.0002018815226586694
is_weekend,Random Forest,1.2347059757366478e-05
month,Random Forest,0.0
day_of_month,Random Forest,0.00028273651438606354
week_of_year,Random Forest,0.00010070811138456566
quarter,Random Forest,0.0
is_holiday,Random Forest,1.2421296453438756e-05
trip_duration_minutes,Random Forest,0.01742618449582455
avg_speed_mph,Random Forest,0.0018822894954909203
distance_squared,Random Forest,0.46148376270305846
duration_squared,Random Forest,0.01865025036648599
temp_fahrenheit,Random Forest,8.067445343746269e-05
temp_deviation,Random Forest,8.143866842867626e-05
extreme_weather,Random Forest,3.3396987362862366e-06
same_borough,Random Forest,0.00011158654326525671
pickup_density,Random Forest,0.0008877952077866216
hourly_pickup_count,Random Forest,0.0008626619305371542
zone_hourly_pickup_count,Random Forest,0.0006534406372627662
is_peak_hour,Random Forest,1.664652039486707e-05
is_late_night,Random Forest,1.2392581768624797e-05
surge_likelihood,Random Forest,0.0006144145076715361
trip_complexity,Random Forest,0.00040776096969969414
extreme_distance_flag,Random Forest,3.7675785550868695e-07
zero_distance_flag,Random Forest,0.0
rain_rush_hour,Random Forest,2.7837034827355e-05
weather_distance,Random Forest,0.000634982933194535
peak_hour_distance,Random Forest,0.00016411179653826041
store_and_fwd_flag_Y,Random Forest,3.431991038596372e-06
pickup_borough_Brooklyn,Random Forest,7.224794195418222e-06
pickup_borough_EWR,Random Forest,3.109781702221253e-05
pickup_borough_Manhattan,Random Forest,0.00016980977612345838
pickup_borough_Queens,Random Forest,0.00010399648438927465
pickup_borough_Staten Island,Random Forest,1.0106999334670561e-07
dropoff_borough_Brooklyn,Random Forest,3.032395288247829e-05
dropoff_borough_EWR,Random Forest,0.0002093852877885868
dropoff_borough_Manhattan,Random Forest,8.679715411213929e-05
dropoff_borough_Queens,Random Forest,4.269987279018887e-05
dropoff_borough_Staten Island,Random Forest,5.754117361820124e-06
traffic_volume_category_medium,Random Forest,0.0001786169129106265
time_of_day_factor_evening,Random Forest,3.096191232261309e-05
time_of_day_factor_morning,Random Forest,4.933730656207509e-05
time_of_day_factor_night,Random Forest,6.90116325653306e-05
day_type_weekday,Random Forest,1.7537205280115265e-05
day_type_weekend,Random Forest,2.0664039243334575e-05
